"detail_url","Crop Name","National Code","Variety Name","Original Name","Outstanding Characteristics","Agroecological Zones","Origin/Source","Developing Institute","Breeder(s)/Collaborators","Potential Yield (t/ha)","Year of Release","Year of Registration","Summary Yield (t/ha)"
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=80&cropid=3&task=view","Cowpea","NGVU-96-21","IFH-101","IFH-101","High yielding, insensitive to photoperiod. Resistant to important cowpea diseases and tolerant to common pests.",NA,"I.A.R&T, Moor Plantation, Ibadan","I.A.R&T, Moor Plantation, Ibadan","Dr. I. Fawole, Mr. N.O. Afolabi & Dr. B. A. Ogunbodede",NA,1985,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=81&cropid=3&task=view","Cowpea","NGVU-96-22","Popse-1","Popse-1","High yielding, resistant to anthracnose and tolerant to other common cowpea diseases and pests.",NA,"I.A.R&T Moor Plantation, Ibadan","I.A.R&T Moor Plantation, Ibadan","Iyiola Fawole, N. O. Afolabi & Dr. B. A. Ogunbodede",NA,1985,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=100&cropid=4&task=view","Soybean","NGGM-96-7","TGX-536-02D","TGX-536-02D","Medium size seeds, moderately resistant to Cercospora leaf spot.",NA,"Nigeria","IITA & I.A.R.&T, Ibadan","E. A. Keuneman, W. R. Root, P.O. Oyekan & K.E. Dashiell.",NA,1985,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=101&cropid=4&task=view","Soybean","NGGM-96-8","TGX-713-09D","TGX-713-09D","Medium size seeds, moderately resistant to Cercospora leaf spot.",NA,"Nigeria","IITA & I.A.R.&T, Ibadan","E.A. Keuneman, P.O. Oyekan & N.O. Afolabi.",NA,1985,1996,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=164&cropid=7&task=view","Maize","NGZM-91-14","NARZH-7","8425-8","High yielding 6t/ha, resistant to streak and striga, semi-dent grain texture.",NA,"IITA, Ibadan","IITA, Ibadan","S. K. Kim, Y. Efron, J. M. Fajemisin & Z. T. Dabrowski",6,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=165&cropid=7&task=view","Maize","NGZM91-15","NARZH-8","8425-19","High yielding 6t/ha, resistant to streak, striga, semi-dent.","Savanna Ecological Zones","IITA, Ibadan","IITA, Ibadan","S. K. Kim, Y. Efron, J. M. Fajemisin & Z. T. Dabrowski",6,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=166&cropid=7&task=view","Maize","NGZM-91-16","NARZH-9","8434-11","High yielding, resistant to streak and storage weevil, semi flint grain. High yielding- 5t/ha.","Forest / Savanna ecologies","IITA, Ibadan","IITA, Ibadan","S. K. Kim, Y. Efron, J. M. Fajemisin & Z. T. Dabrowski",5,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=192&cropid=7&task=view","Maize","NGZM-91-42","NARZO-28","TZMSR-W","Resistance to downy mildew streak, rust and blight.",NA,"IITA, Ibadan","IITA, Ibadan","S. K. Kim, Y. Efron, D. Makonnen, L. Everett, Z. T. Dabrowski & J. M. Fajemisin",NA,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=295&cropid=8&task=view","Pearl Millet","NGPG-91-6","SAMIL-6","S.E.13","Early maturing adapted to all savanna zones, good yield potential. (2.5-3t/ha)","All Savanna Zones","I.A.R. Samaru Zaria","I.A.R-Samaru Zaria","C.C.Nwasike, R.B. Thakare and S.O. Okiro",3,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=296&cropid=8&task=view","Pearl Millet","NGPG-91-7","SAMIL-7","S.E.2124","Early maturing, good seed quality, high yield. (2.5-3t/ha)","All Savanna Zones","I.A.R. Samaru Zaria","I.A.R-Samaru Zaria","C.C.Nwasike, R.B. Thakare and S.O. Okiro",3,1985,1991,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=478&cropid=14&task=view","Tomato","NGLE -00-13","Tomato","NHLE 30","Big pink fruits when ripe, high fruit setting under wet humid condition. Tolerant to rootknot nematode",NA,"Ibadan","NIHORT","Dr. Lanre Denton, Dr. Prem Nath",NA,1985,2000,NA
"https://www.seedportal.org.ng/variety.php?keyword=&category=&varid=479&cropid=14&task=view","Tomato","NGLE -00 -14","Onityre","NGLE -158-3","Pinkish red puffy (ridged) fruits high fruit setting under wet humid condition. Tolerant to foliage diseases and rootknot nematode.",NA,"Ogbomosho","NIHORT","Dr. Lanre Denton, Dr. Prem Nath",NA,1985,2000,NA
