state,crop,crop_equivalent_low,crop_equivalent_kg_person_year,crop_equivalent_high
20. Katsina,Sorghum,33.56638529489529,33.56638529489529,33.56638529489529
20. Katsina,Soybean,1.4217243414223033,1.4217243414223033,1.4217243414223033
20. Katsina,Sweet potato,5.954862487601984,5.954862487601984,5.954862487601984
20. Katsina,Wheat,5.0069257634453015,5.6009678031761005,5.8979888230415
20. Katsina,Yam,3.8176925252908194,3.8176925252908194,3.8176925252908194
21. Kebbi,Cassava,75.66154100271186,78.01960018954709,81.55185984364657
21. Kebbi,Cocoyam,0,0,0
21. Kebbi,Cowpea,6.969613712853595,6.969613712853595,6.969613712853595
21. Kebbi,Groundnut,0.8707299862254938,0.897480147953248,0.9242303096810023
21. Kebbi,Maize,11.100834602097168,11.25351539567613,11.44012525449486
21. Kebbi,Millet,28.009800845765934,28.009800845765934,28.009800845765934
21. Kebbi,Plantain,0,0,0
21. Kebbi,Potato,0.14906271028055312,0.14906271028055312,0.14906271028055312
21. Kebbi,Rice,25.403181447891033,25.403181447891033,25.403181447891033
21. Kebbi,Sorghum,29.31211225235539,29.31211225235539,29.31211225235539
21. Kebbi,Soybean,1.4180429209156726,1.4180429209156726,1.4180429209156726
21. Kebbi,Sweet potato,6.52406725781853,6.52406725781853,6.52406725781853
21. Kebbi,Wheat,0.1220527552061315,0.13653359056957085,0.1437740082512905
21. Kebbi,Yam,2.154838512080988,2.154838512080988,2.154838512080988
22. Kogi,Cassava,115.31190892639286,130.9309837586066,151.9886033826116
22. Kogi,Cocoyam,0.3170351885413496,0.3170351885413496,0.3170351885413496
22. Kogi,Cowpea,6.295191920642323,6.295191920642323,6.295191920642323
22. Kogi,Groundnut,0.947525377163732,0.9964310904736892,1.0453368037836466
22. Kogi,Maize,15.186035903036466,16.30407590798385,17.542585997925276
22. Kogi,Millet,0.7830326908282584,0.7830326908282584,0.7830326908282584
22. Kogi,Plantain,0.4733988147353086,0.4733988147353086,0.4733988147353086
22. Kogi,Potato,0,0,0
22. Kogi,Rice,19.126022305807155,19.126022305807155,19.126022305807155
