item_cd,item_cd_alt,item_os,n
113. Milk tinned (unsweetened),113. Milk tinned (unsweetened),PEAK MILK,1
130. Sugar,130. Sugar,BROWN  SUGER LOCAL,1
130. Sugar,130. Sugar,GLUCOSE,1
130. Sugar,130. Sugar,LOCAL BROWN SUGER,1
130. Sugar,130. Sugar,LOCALLY PROCESSED SUGAR,1
155. Other non-alcoholic drinks,1551. Zobo,ZOBO DRINK,1
163. Gin,163. Gin,LOCAL SPIRIT,1
164. Other alcoholic beverages,164. Other alcoholic beverages,WINE,1
164. Other alcoholic beverages,1641. Burkutu,BURUKUTU,1
19. Wheat flour,19. Wheat flour,WHEAT,1
23. Other grains and flour,23. Other grains and flour,OATS FLOUR,1
23. Other grains and flour,23. Other grains and flour,PIGEON BEANS,1
23. Other grains and flour,23. Other grains and flour,QUINNCORN,1
23. Other grains and flour,23. Other grains and flour,SEMOLINA AND POUNDO YAM,1
23. Other grains and flour,23. Other grains and flour,SWEET POTATOES FLOUR,1
23. Other grains and flour,23. Other grains and flour,TUWO,1
23. Other grains and flour,23. Other grains and flour,WATER YAM,1
23. Other grains and flour,23. Other grains and flour,WATERYAM,1
