zone,product,Post-Harvest,Post-Planting,difference_post_harvest_minus_post_planting,ratio_post_harvest_to_post_planting
1. North Central,Rice - local,0.47677545877216393,0.4615293074067712,0.015246151365392702,1.0330339831527868
1. North Central,Sachet water,0.6268864413852595,0.6229750913159184,0.0039113500693410685,1.0062785015386073
1. North Central,Salt,0.03777849554920782,0.03812256982485863,-3.440742756508075e-4,0.9909745256620542
1. North Central,Seafood,1.1518101320866525e-4,0,1.1518101320866525e-4,NA
1. North Central,Shea butter,NA,2.830109901488877e-4,NA,NA
1. North Central,Snails,1.0011709102189913e-4,3.779083733039499e-4,-2.777912822820508e-4,0.26492424644260376
1. North Central,Soft drinks,0.044749617373118784,0.06553033001276486,-0.020780712639646072,0.6828840532987072
1. North Central,Soya beans,0.021119877124844224,0.02018422390412086,9.356532207233648e-4,1.0463556699117047
1. North Central,Sugar,0.026856576693465608,0.038427497769767706,-0.011570921076302098,0.6988895518092942
1. North Central,Sweet potatoes,0.07401640805107763,0.1633594682968668,-0.08934306024578915,0.45308918315386837
1. North Central,Tea,0.0014703240347160433,0.001665420308742911,-1.9509627402686767e-4,0.8828546325497076
1. North Central,Tomato puree - canned,0.00463709556004595,0.009254551224778673,-0.004617455664732723,0.5010610938789036
1. North Central,Tomatoes,0.10916043281343042,0.1917147676316842,-0.08255433481825379,0.5693897979896138
1. North Central,Watermelon,0.05457004925297217,0.10843200550888421,-0.05386195625591204,0.503265147562922
1. North Central,Wheat flour,0.005987935618558307,0.009177298763652196,-0.003189363145093889,0.6524725600384997
1. North Central,White beans,0.14468385187035673,0.18082183485870482,-0.03613798298834808,0.8001459114902439
1. North Central,Wild game/Bush meat,0.0010648573619446806,1.89628476476106e-4,8.752288854685746e-4,5.615492892908715
1. North Central,Yam flour,0.07072778918643498,0.05552729065893179,0.015200498527503187,1.273748247881749
1. North Central,Yam roots,1.3227878454694104,0.5240225716472009,0.7987652738222095,2.524295549543579
2. North East,Agricultural eggs,0.001209689035346441,0.0020671862487392626,-8.574972133928217e-4,0.5851862821186079
2. North East,Animal fat,1.5255024996229456e-4,3.2884243214512126e-4,-1.762921821828267e-4,0.46390074713646656
2. North East,Apples,8.610825160598435e-5,1.8596218075537225e-4,-9.98539291493879e-5,0.4630417392193158
2. North East,Avocado pear,0.003016471144159043,0.0013657667525054388,0.001650704391653604,2.2086283317597677
2. North East,Baby milk powder,0,0,0,NA
2. North East,Bananas,0.016069689724570804,0.012747242596683897,0.003322447127886907,1.2606404563722053
2. North East,Beef,0.02056606633572033,0.02076558316146764,-1.995168257473076e-4,0.9903919468961735
2. North East,Beer,0.030151860467537393,0.029730733013303628,4.211274542337655e-4,1.0141647181737943
2. North East,Biscuits,0.0028809574352175304,0.0026647884501020984,2.1616898511543203e-4,1.0811205051219543
2. North East,Bottled water,0.0018416435193950819,0.0022338368681750166,-3.921933487799347e-4,0.8244306223218771
2. North East,Bread,0.07026294057920732,0.06384392623841226,0.0064190143407950595,1.10054228677642
2. North East,Brown beans,0.014768699772879975,0.033556199861352776,-0.0187875000884728,0.4401183636377529
2. North East,Buns/Pofpof/Donuts,0.0013061168744030282,0.001786609700975406,-4.804928265723777e-4,0.7310588729535886
2. North East,Butter/Margarine,7.151537197123234e-6,0,7.151537197123234e-6,NA
2. North East,Cake,0.0065838733899081054,0.0011790342079167004,0.005404839181991405,5.584124146441441
2. North East,Canned fish/seafood,0,0,0,NA
2. North East,Cashew nut,2.848639366771062e-4,0,2.848639366771062e-4,NA
2. North East,Cassava flour,0.03587201653719792,0.03836137367602488,-0.0024893571388269614,0.9351077164271945
2. North East,Cassava roots,0.14065982796905893,1.818860843553303,-1.678201015584244,0.0773340239126088
2. North East,Cheese/wara,0.0014010679974531621,0.0019752739555209463,-5.742059580677841e-4,0.7093031290860378
2. North East,Chicken,0.023238198554063474,0.007770203820139036,0.015467994733924437,2.99068069409377
2. North East,Chocolate drinks,6.550699208828153e-4,5.013237932732381e-4,1.5374612760957716e-4,1.3066802926023908
2. North East,Coconut,7.106309434822043e-4,4.1985254342185387e-4,2.9077840006035046e-4,1.6925726772796659
2. North East,Cocoyam,0.0038268332383682535,1.7097482402876884e-4,0.0036558584143394847,22.382437064092763
2. North East,Coffee,3.885527000478729e-5,1.837706880311633e-5,2.0478201201670965e-5,2.1143344687373826
2. North East,Dry pepper,0.004060966218880862,0.006496527407158026,-0.002435561188277164,0.6250979891820967
2. North East,Duck,0.0029819189310491207,6.8949181332209e-4,0.002292427117727031,4.324806869978228
2. North East,Fish - dried,0.021340800566213597,0.011400570111793532,0.009940230454420065,1.8719064359893027
2. North East,Fish - fresh,0.022740892123073293,0.01945052604460024,0.003290366078473054,1.1691659172059519
2. North East,Fish - frozen,9.213411833719371e-4,9.890328963275392e-4,-6.769171295560215e-5,0.9315576729480345
2. North East,Fish - smoked,0.016351712706039735,0.004690897905529725,0.01166081480051001,3.4858385399443472
2. North East,Fresh milk,0.015414687193702998,0.04427652577650446,-0.028861838582801464,0.34814581594572336
2. North East,Fresh pepper,0.02590034146749803,0.03963207923926229,-0.013731737771764261,0.653519622605098
2. North East,Fruit juice,9.574936572230787e-5,2.9626821636689497e-4,-2.005188506445871e-4,0.32318473745335213
2. North East,Garden eggs/Eggplant,0.010521284133950471,0.027707758263167657,-0.017186474129217186,0.37972339855211507
2. North East,Gari - white,0.027769399632588638,0.022499653724929583,0.005269745907659055,1.2342145337916994
2. North East,Gari - yellow,0.0025676209327343295,0.004428919234066174,-0.0018612983013318448,0.5797398410395048
2. North East,Gin,5.906691519287059e-5,2.1710486501070778e-4,-1.580379498178372e-4,0.27206629013107264
2. North East,Goat,0.009263164229317961,0.011072055053893082,-0.0018088908245751205,0.8366255572456632
2. North East,Ground pepper,0.002115461344040724,0.0020395378752308554,7.592346880986884e-5,1.0372258195015256
2. North East,Groundnut oil,0.033785128815940035,0.03813978357080744,-0.004354654754867404,0.8858238210297423
2. North East,Groundnuts - shelled,0.020885508661375136,0.016324966895391584,0.004560541765983552,1.2793599396070419
2. North East,Groundnuts - unshelled,0.010565346104048152,0.02200910244040797,-0.011443756336359818,0.4800443876643753
2. North East,Guava,0.002461404358928877,0.004684703816979025,-0.0022232994580501484,0.5254130154414194
2. North East,Guinea corn / sorghum,0.5537207266758268,0.5590863095639959,-0.005365582888169018,0.9904029435234188
2. North East,Honey,5.689771094459712e-4,2.9572898665085486e-4,2.7324812279511633e-4,1.9239815342069257
2. North East,Kola nut,0.0023428024360030333,0.0039710038221790955,-0.0016282013861760622,0.5899773812651271
2. North East,Leaves,0.07445496591798294,0.08228008303546294,-0.007825117117480004,0.9048965821521187
2. North East,Local eggs,0.0012415323243606545,9.264409213373104e-4,3.1509140302334406e-4,1.3401095480200853
2. North East,Maize - shelled/off cob,0.060632421585636,0.13293475186029077,-0.07230233027465477,0.4561066292835022
2. North East,Maize - unshelled/on cob,4.1570961159725933e-4,0.06566604696304175,-0.06525033735144449,0.006330662965462647
2. North East,Maize flour,0.3897356245634673,0.4161016769717987,-0.026366052408331397,0.9366355535978329
2. North East,Malt drinks,0.0060248703919126385,0.003788262445053171,0.0022366079468594674,1.5904046985393259
2. North East,Mangoes,0.017531101739614266,9.02682750692075e-5,0.017440833464545058,194.21110823457525
2. North East,Meat pie/Sausage roll,2.1464165282669129e-4,0,2.1464165282669129e-4,NA
2. North East,Melon - ground,1.1592303283159729e-4,8.210313920318341e-5,3.381989362841387e-5,1.4119196166752972
2. North East,Melon - shelled,4.598893465918522e-5,1.054393170058607e-4,-5.9450382346675474e-5,0.43616495217461426
2. North East,Melon - unshelled,0,0,0,NA
2. North East,Milk - tinned,3.012961238409723e-5,1.8619158176198853e-5,1.1510454207898377e-5,1.6182048672110407
2. North East,Milk powder,0.001185497602193432,8.788353776239869e-4,3.0666222456944515e-4,1.3489416020080292
2. North East,Millet,0.20373501060965765,0.3030458335374629,-0.09931082292780524,0.6722910796411649
2. North East,Mutton,0.004337435464582349,0.0026974383173857205,0.0016399971471966284,1.6079831878365494
2. North East,Ogbono - ground,2.4675001517901646e-5,3.2615835176052796e-6,2.1413418000296367e-5,7.5653440682146105
2. North East,Ogbono - unground,0,0,0,NA
2. North East,Okra - dried,0.0093019403950454,0.002857188774757103,0.006444751620288298,3.2556268165501883
2. North East,Okra - fresh,0.012591477089730034,0.05818006114393566,-0.04558858405420563,0.21642254824344567
2. North East,Onions,0.10730331667801585,0.11247224514394237,-0.005168928465926523,0.9540426310570105
2. North East,Orange/Tangerine,0.054077286315806265,0.03888650750335952,0.015190778812446744,1.3906439479332096
2. North East,Other alcoholic beverages,0.0013634205072617235,2.6978738465697496e-4,0.0010936331226047485,5.053685178776109
