survey_period,product,zone,estimate_kg_person_week,se,cv,ci_low,ci_high,estimate_kg_person_year_equivalent
Post-Planting,Other oil/fat,1. North Central,0,0,NA,0,0,0
Post-Planting,Other roots/tubers,1. North Central,0,0,NA,0,0,0
Post-Planting,Other spices,1. North Central,0.005833985368783656,9.213587440371571e-4,0.157929560291176,0.0040281222304708285,0.007639848507096484,0.30420066565800497
Post-Planting,Other sweets,1. North Central,6.818506068721248e-6,6.906429506225327e-6,1.0128948242647187,0,2.0355107900922888e-5,3.555363878690365e-4
Post-Planting,Other vegetables,1. North Central,7.486051120709848e-4,5.874440243635414e-4,0.7847181576657979,0,0.0018999953998235257,0.03903440941512992
Post-Planting,Palm oil,1. North Central,0.1730239661361217,0.053244766411915355,0.3077305855422742,0.0686642239687676,0.2773837083034758,9.021963948526345
Post-Planting,Palm wine,1. North Central,0.00399563862676791,0.0015189686129263404,0.3801566544958148,0.001018460145432283,0.0069728171081035375,0.20834401411004103
Post-Planting,Pawpaw,1. North Central,0.002698938071494757,0.0011938997904804576,0.44235909044746563,3.588944821530599e-4,0.005038981660836454,0.14073034229936945
Post-Planting,Pineapples,1. North Central,0.01867679797662084,0.006355437366173005,0.34028516955254245,0.006220140738921751,0.031133455214319934,0.973861608780944
Post-Planting,Pito,1. North Central,0.0030707986749497233,0.0026868232002061126,0.8749590854405662,0,0.008336972147353704,0.16012021662237844
Post-Planting,Plantains,1. North Central,0.026755407347273216,0.006946882483889533,0.2596440560116356,0.013139517678849731,0.0403712970156967,1.3951033831078177
Post-Planting,Pork,1. North Central,0.005727890896626605,0.002438733914050092,0.42576472877414,9.479724250884246e-4,0.010507809368164785,0.29866859675267293
Post-Planting,Potatoes,1. North Central,0.07415899020673959,0.03407627101346556,0.45950289935809696,0.007369499020347101,0.1409484813931321,3.8668616322085643
Post-Planting,Rice - imported,1. North Central,0.04268580709133793,0.015103569170428686,0.3538311724576387,0.013082811517297704,0.07228880266537815,2.225759941191192
Post-Planting,Rice - local,1. North Central,0.4615293074067712,0.03117308064085771,0.06754301436676297,0.40043006935069014,0.5226285454628523,24.06545674335307
Post-Planting,Sachet water,1. North Central,0.6229750913159184,0.11235699955246929,0.18035552483348272,0.40275537219307866,0.8431948104387582,32.48370119004432
Post-Planting,Salt,1. North Central,0.03812256982485863,0.002937205018001587,0.07704635420685413,0.032365647989575516,0.04387949166014174,1.9878197122962
Post-Planting,Seafood,1. North Central,0,0,NA,0,0,0
Post-Planting,Shea butter,1. North Central,2.830109901488877e-4,2.0357369525679877e-4,0.7193137452001487,0,6.820154328522133e-4,0.014757001629192
Post-Planting,Snails,1. North Central,3.779083733039499e-4,2.3578100014426206e-4,0.6239104947130254,0,8.400391335867035e-4,0.01970522232227739
Post-Planting,Soft drinks,1. North Central,0.06553033001276486,0.010408010701805982,0.15882738114974507,0.04513062903722513,0.08593003098830458,3.4169386363798817
Post-Planting,Soya beans,1. North Central,0.02018422390412086,0.003636842197664497,0.18018241449065528,0.013056013196698444,0.027312434611543274,1.0524631035720162
Post-Planting,Sugar,1. North Central,0.038427497769767706,0.004591501932500827,0.11948480122255388,0.029428153982066087,0.047426841557469325,2.003719526566459
Post-Planting,Sweet potatoes,1. North Central,0.1633594682968668,0.028499934576004717,0.17446147978526044,0.10749959652789753,0.21921934006583604,8.518029418336626
Post-Planting,Tea,1. North Central,0.001665420308742911,4.185666204667624e-4,0.25132791900604595,8.450297326280567e-4,0.002485810884857765,0.08683977324159464
Post-Planting,Tomato puree - canned,1. North Central,0.009254551224778673,0.0020274565559646436,0.21907670147594124,0.005280736375087971,0.013228366074469373,0.48255874243488794
Post-Planting,Tomatoes,1. North Central,0.1917147676316842,0.02207567833562235,0.11514855432542047,0.1484464380938644,0.23498309716950402,9.996555740794962
Post-Planting,Watermelon,1. North Central,0.10843200550888421,0.01683140750791243,0.1552254560719471,0.07544244679337585,0.14142156422439256,5.653954572963248
Post-Planting,Wheat flour,1. North Central,0.009177298763652196,0.0032766740915017058,0.3570412357587584,0.0027550175443088526,0.015599579982995538,0.47853057839043595
Post-Planting,White beans,1. North Central,0.18082183485870482,0.014719622394804822,0.08140400967785122,0.15197137496488736,0.20967229475252228,9.42856710334675
Post-Planting,Wild game/Bush meat,1. North Central,1.89628476476106e-4,1.49296466476664e-4,0.7873103726352829,0,4.822495507703675e-4,0.009887770559111242
Post-Planting,Yam flour,1. North Central,0.05552729065893179,0.012964476873313724,0.23347937058456741,0.03011691598723689,0.08093766533062668,2.895351584358586
Post-Planting,Yam roots,1. North Central,0.5240225716472009,0.08202237146104528,0.15652450084968283,0.36325872358355216,0.6847864197108496,27.32403409303262
