product,zone,estimate_kg_person_year,se,cv,ci_low,ci_high
Groundnuts - unshelled,2. North East,0.5509073325682251,0.08692944448542639,0.15779322464302276,0.38052562137678936,0.7212890437596609
Guava,2. North East,0.1283446558584343,0.08111870548234403,0.6320380458366645,0,0.2873373186038286
Guinea corn / sorghum,2. North East,28.872580748096684,4.493240389820296,0.1556230954559369,20.065829584048906,37.67933191214446
Honey,2. North East,0.02966809213539707,0.01525706993225116,0.5142585462732845,0,0.059571949202609345
Kola nut,2. North East,0.12216041273444389,0.03807208441981554,0.3116564815688518,0.04753912727160543,0.19678169819728236
Leaves,2. North East,3.882294651437682,0.5103694287610855,0.1314607660116902,2.8819705710659544,4.882618731809409
Local eggs,2. North East,0.06473704262737699,0.017511253076017242,0.27049819338846065,0.030414986598383195,0.09905909865637079
Maize - shelled/off cob,2. North East,3.1615476969653056,0.9474680181556573,0.2996848724012955,1.3045103813802172,5.018585012550394
Maize - unshelled/on cob,2. North East,0.021676286890428522,0.012381286452583812,0.5711903756934934,0,0.045943608337492794
Maize flour,2. North East,20.32192899509508,1.4397438608264301,0.07084681090923642,17.50003102787528,23.143826962314883
Malt drinks,2. North East,0.31415395614973046,0.05953230844064625,0.18950042574753462,0.19747063160606382,0.4308372806933971
Mangoes,2. North East,0.914121733565601,0.43389953227987466,0.4746627460517941,0.06367865029704667,1.7645648168341554
Meat pie/Sausage roll,2. North East,0.011192029040248904,0.005929834936870712,0.5298266217453307,0,0.0228145055165155
Melon - ground,2. North East,0.006044558140504716,0.004457392759638425,0.7374224312227786,0,0.014781047949396029
Melon - shelled,2. North East,0.0023979944500860865,0.0020080016003573378,0.8373670757600176,0,0.006333677586786468
Melon - unshelled,2. North East,0,0,NA,0,0
Milk - tinned,2. North East,0.0015710440743136414,0.0015938907671414822,1.0145423627518675,0,0.004695069977910946
Milk powder,2. North East,0.061815232114371815,0.015810681170019318,0.2557732233499677,0.03082629702113395,0.09280416720760967
Millet,2. North East,10.623325553217864,2.7550399528362197,0.2593387484017849,5.223447245658873,16.023203860776853
Mutton,2. North East,0.22616627779607965,0.056006503827401015,0.24763419362588912,0.11639353029437366,0.33593902529778563
Ogbono - ground,2. North East,0.0012866250791477287,7.509350564951264e-4,0.5836471468382631,0,0.0027584577898781765
Ogbono - unground,2. North East,0,0,NA,0,0
Okra - dried,2. North East,0.4850297491702245,0.046503367879639095,0.09587735176903225,0.3938831481261319,0.5761763502143171
Okra - fresh,2. North East,0.6565555911073518,0.09956607021151707,0.15164910871231507,0.4614060934927784,0.8517050887219253
Onions,2. North East,5.595101512496541,0.20707387435469912,0.037009851187186506,5.189236718761331,6.000966306231751
Orange/Tangerine,2. North East,2.8197442150384697,0.41974525872871515,0.1488593385492551,1.997043507930188,3.642444922146751
